,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
film,-0.5774401,0.25649923,0.49738583,0.5286568,-0.025764259,0.29911035,-0.2082873,0.046424724,-0.4093336,0.021405868,-0.60196227,0.17306423,0.18968996,0.11670743,0.09375894,0.04009744,0.28981838,0.0009008619,0.26190642,-0.52536553,0.076531544,-0.12144531,-0.3630201,0.5782963,0.07127546,0.008332449,-0.9716158,0.07057938,0.24161638,-0.21791406,-0.034247864,0.057892635,0.58315116,-0.53321415,-0.3989867,0.45217276,0.4571742,0.27317643,0.05652388,0.03265825,0.15280402,0.40515402,0.38063452,0.054314833,0.40627414,0.10410198,-0.6023822,0.20111723,0.39059025,-0.09659794,-0.07552841,-0.32141775,-0.27312568,0.22850533,0.20484889,0.816258,0.29002154,0.10475869,0.30617633,0.26323354,0.31327754,0.7675652,-0.9046629,-0.120127924,0.14947021,0.09546525,0.20467374,-0.33776748,-0.27804372,-0.11079497,-0.14172216,-0.4789902,0.49235505,-0.012777704,0.25340974,-0.32686853,-0.21425565,-0.5712171,-0.031468567,0.17005457,0.00038141522,0.16858625,0.56286323,0.14529687,-0.39096254,0.7826827,0.69368607,-0.25987503,0.6562156,-0.3920724,0.11649889,0.03764957,-0.046563927,-0.30849063,-0.2944522,-0.1559482,0.13052037,0.19108222,0.14100905,-0.297263
every,-0.09510866,0.20829995,0.5566201,0.18800934,0.23622416,0.12507538,0.3499307,1.0241376,0.08527091,-0.8991282,-0.73604906,-0.197317,-0.24960132,0.24331918,-0.8830115,-0.30549532,0.6762309,0.02016146,-0.003824369,0.045644324,-0.27002713,0.023630362,-0.23779263,-0.12040441,0.5865381,0.028841192,-0.09275237,-0.32135183,0.05866167,-0.1236425,-0.796463,0.09321437,0.010959382,0.3356539,-0.16304347,-0.58702326,-0.21192127,-0.47073844,0.5796295,0.0801039,0.86437273,-0.4936511,0.41948718,-0.059866115,-0.3504245,-0.0025610575,-0.33202934,0.7994832,0.581895,0.06917792,0.22164054,-0.64231133,0.36655873,0.45607376,-0.6233202,0.60645413,-0.23228967,0.30168396,-0.18736361,0.88125235,-0.3848355,-0.37615088,0.17458479,0.5293874,-0.0029668408,-0.4940145,0.012984899,-0.44451314,-0.30698007,-0.24723731,-0.5025218,-0.06465055,0.32302284,-0.71570116,-0.031643532,-0.27200773,-0.18663959,-0.40012336,0.29358402,-0.9708299,-0.59196883,0.39320284,0.41808653,0.2269107,0.10147943,0.13981885,-0.45697874,-0.13047051,-0.04438763,0.49110234,-0.35786653,0.46384913,-0.40381238,0.18936272,-0.32983318,0.18632284,0.034038182,0.008038534,-0.42474502,-0.22217397
from,0.078479044,0.34387672,-0.4295648,0.1475887,0.43777302,0.6570331,-0.10111826,0.3198455,-0.23479939,0.13576056,-0.31248167,0.105448835,0.37743422,0.30839905,-0.36028698,-0.3797443,-0.18917432,-0.8035945,0.17486238,-0.026527867,-0.0014812219,-0.56058174,0.22795863,0.9557991,-0.26824299,0.34118155,-0.5818357,0.37024906,-0.42610484,-0.32837582,0.12974599,0.078661084,0.35888156,0.062143557,0.41006777,-0.36075738,-0.5609314,0.44341987,-0.38856,-0.88781166,0.14573963,0.15999046,0.37301627,-0.6579048,-0.20142393,0.30303207,0.16776538,0.16360797,0.63958806,0.3476759,-0.03380188,-0.42332435,-0.11524147,0.06182491,0.30606094,0.4326085,-0.18554015,-0.491401,-0.3819086,0.40922922,0.081788614,0.40327227,0.15977143,0.22337481,-0.2585779,0.46534792,-0.8354813,-0.52952677,-0.12473805,-0.18974885,-0.099872164,-0.33338213,0.081331775,0.19313218,-0.10143258,-0.41042683,0.058602,-0.36803073,-0.48360637,-0.35144445,-0.46126986,-0.26935464,0.45111194,0.29576862,0.2786197,0.11204105,0.37873757,-0.054163773,-0.21025626,0.86448336,-0.08797984,0.22737075,-0.6486225,-0.48326945,0.2601371,-0.043151654,-0.081542164,0.35996127,0.38519695,-0.64299685
are,-0.168865,-0.8054235,-0.28260717,0.16384895,0.017935295,0.64356494,-0.2107709,0.14791116,0.36054096,0.5334304,-0.46122777,0.8729353,0.6181793,0.2517741,0.08329387,-0.33696595,-0.011581518,0.43072766,0.3919329,-0.42705953,-0.067164846,-0.309539,-0.13070934,0.8579029,0.1596584,0.01595177,-0.74500227,-0.40810433,-0.067055404,0.15720634,-0.19234842,0.47939596,0.2005834,0.26448637,0.052203313,0.22232121,0.5485584,-0.3113072,-0.030658592,0.28346732,0.0551359,-0.4321583,0.2041538,0.24777056,-0.15772185,-0.43461317,-0.060014516,0.3970544,0.7079519,0.14252263,-0.026981486,-0.54507446,-0.14655128,-0.02172029,-0.38478196,-0.118082486,-0.7875577,-0.24804054,0.17136852,-0.8073063,0.3076674,0.23338458,0.13942116,-0.3522981,0.06583703,0.17173232,0.16239482,-0.19657657,-0.24912997,0.3496679,-0.3097567,-0.0022270707,-0.26264608,0.20806034,0.4388285,0.017503886,0.45029792,-0.21321528,0.29997313,-0.020785686,0.2542514,0.26819545,0.5484559,0.44148394,0.11148332,-0.45529193,0.6235203,-0.15095499,0.32813698,0.19500561,-0.52493024,0.5745737,0.26680914,0.34904677,0.11876867,-0.2235136,0.21140565,0.6235082,0.12398101,-0.49439093
that,0.23274693,0.4341331,0.54299504,0.53095096,-1.2403339,0.45999628,-0.06654874,-0.104423486,-0.23129077,-0.0303985,-0.2800143,0.279226,-0.09561719,-0.2830729,-0.16740763,0.7060837,0.15118372,-0.019642444,0.8133216,-0.89913094,0.63469374,0.6599957,0.17153347,0.2688406,-0.46103188,0.5085017,0.044576395,-0.21639706,-0.03134128,0.70816135,-0.17928185,0.080748715,-0.42404222,0.24930793,-0.5665342,-0.6306607,-0.04121308,-0.85602206,-0.20640208,-0.04222775,0.82064515,-0.45950103,0.08506488,0.2706888,-0.5766999,0.6257644,-0.012893357,0.094883196,0.46685582,-1.0249708,0.093240015,-0.9355999,-0.025711115,-0.43109244,-0.035184443,-0.18174005,0.06316002,-0.043790694,0.025235768,0.09510798,0.46308553,0.6973167,-0.6063292,0.11332359,0.5428867,-0.16868855,-0.21163958,-0.27029908,0.011385732,-0.25392127,0.23374954,-0.5673415,-0.40850243,-0.7061789,0.5487767,-0.24196222,-0.14224023,0.15140903,-0.109356254,-0.08847105,-0.33978865,-0.10899083,-0.38568553,-0.21896483,-0.70941776,0.59722626,0.07291537,-0.6938572,0.06349801,0.27619925,-0.047974356,0.22150537,-0.6637497,-0.55034244,-0.12412333,-0.1579404,0.14924666,0.6033164,0.19336918,-0.19792575
not,0.9721526,-0.5133877,0.32522067,-0.4019017,0.62215686,0.04522419,0.21805789,-0.20024247,0.2897077,0.71061134,-0.7363351,-0.06892705,0.07921389,0.8205352,-0.08937771,0.19151162,0.7563069,-0.18993619,-0.17355876,0.5530683,0.7128198,-0.43156433,-0.29240146,0.40192932,0.15364882,-0.38540316,-0.09299359,0.008113527,-0.6490549,-0.08135502,-0.38222277,-0.2221267,0.16359708,0.12700678,0.11259399,-0.3573303,-0.14172553,-0.61790204,0.25727683,-0.20748326,0.42340633,-0.115855604,-0.10747862,0.59780663,0.367561,0.32303733,-0.18525161,0.3206445,0.085757874,-0.1328431,-0.52853286,-0.3955034,-0.0033532858,-0.28187263,-0.21924092,-0.2502726,-0.2997815,0.37204686,0.025816336,0.3484576,0.36724862,0.6739038,-0.61061555,-0.054452926,-0.31078258,0.14434491,0.26810476,-0.97678167,-0.24891296,0.24800035,-0.34521085,-0.46945003,0.3434512,-0.1501658,0.033019334,0.16624533,0.3808694,-0.16075937,-0.46395662,-0.34982887,-0.08102449,0.07842447,-0.6498004,0.11625404,-0.047519833,-0.21590959,0.005644355,0.22666973,0.07438743,-0.17853989,-0.68282723,0.50556666,-0.21142015,-0.76007444,0.16697693,-0.6350264,-0.56559736,0.3163446,0.19177112,-0.12804498
no,-0.8292349,0.61986995,0.24647586,0.34198567,0.16730992,-0.21464,-0.25134262,0.035402432,-0.39847174,0.028608054,-0.457713,0.9307184,-0.2669631,0.4902389,0.36834246,-0.70178026,0.43807268,-0.97147816,-0.7075503,-0.15354368,0.41175863,-0.7168428,0.08345349,0.58173794,0.7945216,-0.20120421,0.28737873,-0.2206554,0.15197304,-0.3554867,0.14719026,0.35105175,0.14285028,-0.19042793,-0.14795622,0.0017695271,-0.37085786,-0.27616468,-0.29837653,0.16793917,1.1520787,0.1082799,-0.16715044,0.33642268,-1.1926929,-0.28586173,0.21299267,0.89166605,0.49169505,-0.04300108,-0.19216457,-0.5371909,-0.69407576,-0.4017828,-0.28077874,-0.4687059,0.13220172,0.106643975,0.40974316,-0.020332009,0.26634827,0.117111675,-0.09195262,0.29817528,-0.28598332,0.20131342,-0.09549375,-0.22510053,-0.60736674,0.60748965,0.14720808,0.14213988,-0.43451348,0.050048158,-0.056800947,0.4300724,0.3882404,0.39572173,0.7147024,-0.22299509,0.30404797,-0.45654842,-0.017284535,0.44138536,-0.022424506,0.57582295,0.2762843,-0.0095669115,-0.5731338,-0.14335847,-0.47875556,0.8384348,0.35285097,-0.48434016,-0.17735265,0.15672491,0.058304578,-0.4569451,0.41578817,0.23370513
for,0.106298424,0.031345807,0.46771988,-0.028615786,-0.24701913,0.22237417,0.5818926,0.6337967,-0.65489316,-0.35049292,-0.5498929,0.53855914,0.67861533,0.23260085,-0.3178226,0.23121014,0.37975296,-0.14819902,-0.76871353,-0.3846496,-0.8310538,-0.4296668,0.19210467,1.2906462,0.040418,0.058077842,0.1752469,0.21899895,-0.56729,0.48086286,-0.0236598,0.4973391,0.69249266,0.11839097,-0.14615935,0.44274044,0.3738785,-0.30137855,-0.18860298,0.035662696,-0.05297084,-0.017714914,0.457394,-0.07453083,-0.20360379,0.14771418,0.25199342,0.12244802,0.5017374,0.11611444,0.15451033,0.11997976,-0.16646606,-0.49585125,0.06785543,-0.30999047,-0.89805806,0.46279594,0.4754615,-0.03071099,0.20068885,0.21921566,-0.75399137,0.6686489,0.41912276,-0.021682438,0.5590696,-0.39810568,-0.45390657,-0.6240993,0.1960158,-0.40709376,-0.36998457,-0.0449226,0.46479592,-0.41369608,-0.13694802,-0.46884975,0.113273434,-0.27216393,-0.43798298,-0.46444806,-0.42504534,0.6924696,0.5221208,0.57156247,-0.3467103,-0.4519349,0.195961,-0.23497191,0.27253902,0.49122497,-0.17174754,-0.012527954,-0.11388677,-0.44428557,0.22150923,0.036774885,-0.1745855,0.4053369
on,0.20075007,-0.12121472,-0.7040063,-0.3473758,-0.14281562,0.42580342,-0.07821008,0.25181615,-0.505306,-0.4101256,-0.7020688,0.1893547,0.36056483,0.1186277,0.037812665,0.6004046,0.0136823645,0.23254958,0.1042472,-0.28969362,-0.62368596,0.07596107,0.20896275,-0.12245366,0.7660141,0.55848074,-1.0169352,-0.9079385,-0.20962957,0.27309516,-0.18211232,-0.14664689,0.5621919,-0.2071332,0.37878546,-0.44944888,-0.5070274,-0.6718119,-0.16777119,-0.6715759,0.7002726,0.69698,0.5400452,-0.023045154,-0.14905329,-0.7800412,0.020586155,0.03711158,0.33323893,-0.35416347,-1.0654256,-0.13633023,-0.30314443,-0.5519364,0.41880557,0.63042396,0.02266924,0.313978,0.71941364,0.46545583,-0.23473391,-0.5525372,-0.26239341,0.72425,0.14662544,0.81344116,-0.109971434,-0.075668275,-0.09155272,0.06356892,-0.41551432,-0.63764894,0.45582038,-0.42225143,0.13549796,-0.39814395,-0.11123789,0.49357802,0.49615467,-1.3282824,-0.2340181,-0.8375603,-0.4841205,0.09344081,-0.030393079,0.47984493,0.43187752,0.25410438,-0.41324705,-0.2780718,-0.5354045,0.0478767,-0.10681695,-0.2564231,-0.1210275,-0.13505359,0.051263582,0.36164343,0.44155574,-0.25191528
cinema,-0.23411839,0.25469983,0.01931464,0.09313798,-0.5778248,0.53008944,-0.22159846,-0.1638124,-0.11333405,0.022021305,-0.9855575,0.5465828,-0.8001454,0.1275558,-0.8388533,0.37483191,-0.20904113,-0.68728006,-0.15169364,-0.27987358,-0.22827247,0.7749495,-0.094607644,0.3736555,-0.0037849008,-0.4454175,0.05924417,0.37398288,-0.44965935,-0.13840754,-0.116341986,-0.29679778,-0.3411295,0.27542415,0.4230734,-0.06160906,-0.727898,-0.4500164,0.5557785,-0.15832196,0.26861438,-0.33182865,0.92166364,-0.17313585,-0.079444274,-0.6394039,-0.00993663,0.45344478,0.41801077,-0.2148866,0.6721304,-0.032927126,0.036916345,-0.22136016,0.60067844,0.37372732,0.24580723,0.9022137,0.5872522,0.17852966,-0.113185376,-0.28017357,-0.35598078,0.49764317,-0.30811188,0.30897757,-0.5840407,-0.3032769,0.2669017,0.14719184,-0.5906209,0.7059021,-0.07764867,-0.3505377,0.61336327,-0.17049749,-0.07428452,-0.57264113,0.09823406,0.35737872,0.21675159,-0.42136943,-0.5292747,0.3871286,-0.93783563,-0.42859304,0.019267553,-0.50772685,0.14614415,0.11622087,0.086884096,0.5131763,0.34869385,-0.2518284,0.6767655,-0.4377759,-0.41283724,-0.17739645,-0.42082787,-0.038520586
